DBA,ZIPCODE,Longitude_x,Latitude_x,VIOLATION CODE,Borough
1C&J GROUP INC,10034.0,-73.923589118797,40.866844977637,Missing,MANHATTAN
1HOTEL CENTRAL PARK,10019.0,-73.976845586201,40.764780058501,Missing,MANHATTAN
2 BROS PIZZA,10019.0,-73.981751992438,40.763169770792,"Missing, 06C, 02G, 10B, 02B, 04L, 10D, 10F, 06A, 10H, 08A, 04N, 20-01, 06D, 04K, 05D, 20-06, 06B, 20-04, 20-08, 04J, 08B, 04A, 10A",MANHATTAN
2 BROS PIZZA / CARMENS KITCHEN,10038.0,-74.008310485729,40.709623321351,"04N, 10B, 05F, 05D, 02B, 08A, 06C, 04K, 04M, 06D, 02G, 02H",MANHATTAN
"2 BROS PIZZA, CORVO COFFEE",10018.0,-73.99362190872,40.75704199863,"10F, 02G, 06D, 22A",MANHATTAN
2 BRYANT PARK CDR,10036.0,-73.984035427203,40.754930345322,"10B, 10F",MANHATTAN
2 FISH AND CRUST,10466.0,-73.861103563961,40.886625349363,"04N, 10B, 08A, 10F, 10G",BRONX
2 IN 1 RESTAURANT,11234.0,-73.932321338714,40.618452299821,"10F, 08A, 04L",BROOKLYN
2 SISTERS 4 BROTHERS RESTAURANT AND LOUNGE,10029.0,-73.936459277756,40.796452989576,"15-21, 09B, 10F, 06D, 08C",MANHATTAN
2020 SABORES LATINOS REST & BAKERY,11418.0,-73.826368412545,40.700807697933,"10F, 04A, 10B, 06D, 04H, 08C, 04M, 04L, 08A, 05D, 06A, 04N, 09C, 02G, 06E, 03B",QUEENS
2022 FLORES PIZZA CORP.,10469.0,-73.847835585921,40.876560110781,Missing,BRONX
205 CLUB/OFF THE BOWERY,10002.0,-73.991745659534,40.722224557207,Missing,MANHATTAN
21 BAR,10033.0,-73.934811955155,40.85195623528,"06D, 10F, 10D",MANHATTAN
21 GREENPOINT,10112.0,-73.978692223615,40.758747437799,"10F, 04M, 02G, 04L, 04C, 08A, 04H, 06E",MANHATTAN
212 HISAE'S,10003.0,-73.988695892595,40.729794362642,"02B, 03A, 04N, 02G, 10B, 08A, 06D",MANHATTAN
212 STEAKHOUSE,10022.0,-73.966532447413,40.756482854135,"04L, 08C, 04J, 18-01, 06C, 03B, 08A, 04A, 06E, 20-06, 02G, 04H, 02B, 04N, 10G, 10A",MANHATTAN
2122 QUICK BITE CORP,11210.0,-73.94775501363,40.633545714685,Missing,BROOKLYN
2123 FRESH TORTILLAS,10461.0,-73.855586519179,40.855888555235,"04L, 08A, 04A, 06D, 10F, 02B",BRONX
2181 ITALIAN BROS,11210.0,-73.947565411169,40.631835628096,"02B, 08C, 06A, 20-01, 16-02, 10B, 08A, 10F, 02G, 04A, 04N, 28-01, 02H, 05D",BROOKLYN
21ST LIC DELI & GROCERY,11101.0,-73.946223261177,40.750011222522,"02B, 10G, 10I, 06D, 09C, 19-10, 08A, 06A, 06F, 10F, 02H, 20F, 20-06, 06E, 10E, 04N",QUEENS
21ST STREET CAFE,11102.0,-73.927118745393,40.770764782705,"02G, 20-04, 02B, 10E, 16-02, 04A, 28-06",QUEENS
22 ORCHARD SUSHI LLC,10002.0,-73.991605820527,40.715423012404,Missing,MANHATTAN
22 STR CONCESSION STAND,11224.0,-73.987440988092,40.573492783036,"10B, 10I, 06E, 10F",BROOKLYN
220 CENTRAL PARK SOUTH,10019.0,-73.979786995892,40.767157573889,"06D, 08B, 10F",MANHATTAN
225 BOWERY HOTEL LLC,10002.0,-73.99337634687,40.722002336836,Missing,MANHATTAN
23 GRAND,10013.0,-74.00484875081,40.72287251676,"04O, 02B, 08A, 02G, 04N, 10B, 04H, 04K",MANHATTAN
230 FIFTH,10001.0,-73.987867062696,40.743910598827,"10B, 10F, 08A, 06C, 09C, 04H, 04N, 02B",MANHATTAN
234 CHINA CITY,11223.0,-73.982249053147,40.605383786282,"06C, 02B, 02G, 09C, 10F",BROOKLYN
241ST CAFE RESTAURANT,10470.0,-73.850247837362,40.903604297457,"10B, 08C, 06A, 10F, 02B",BRONX
247BAR LLC.,10022.0,-73.969684075065,40.755369357605,Missing,MANHATTAN
251 GINZA SUSHI,10016.0,-73.976198993563,40.745786188941,"08A, 28-06, 02G, 02B, 09C, 04L, 04N, 10B, 10F, 10I",MANHATTAN
2521 El Rey,11102.0,-73.922424794258,40.771236549117,"06D, 04C, 02G, 10F, 04H, 06C, 08C",QUEENS
2522 MOMBAR,11103.0,-73.912006625123,40.767570273175,"06C, 04L, 06A, 10F, 10B, 04M, 08A",QUEENS
26 BENVENUTO PIZZA CORP.,10453.0,-73.905002403301,40.858725929446,Missing,BRONX
260S NEW YORK,10018.0,-73.989983809816,40.754810249281,Missing,MANHATTAN
2639 MUNCH'N OUT CORP.,10468.0,-73.89811805805,40.866553495263,Missing,BRONX
264 suydam LLC,11237.0,-73.923576531607,40.702253147645,Missing,BROOKLYN
